単語,品詞,意味,用例,"単語
を追加",品詞・意味・用例を追加
lot,"名
","①たくさん、たくさんのこと　②(一区画の)土地、敷地
  a lot of ～　たくさんの～ ","①a lot of books　②an empty lot
",,●
loud,"形
副","(音・声が)大きい、うるさい
大きな音で、大きな声で","a loud voice
speak louder",,
love,"名

動
","①愛、恋愛　②(親しい人への手紙などの結びで)愛を込めて
～を愛する、～のことが大好きである、～をとても気に入る","①a mother's love for her children　②Love, Mary

I love reading books.",,●
lovely,形,すてきな、すばらしい、美しい、かわいい,a lovely dog,●,
low,"形
名","低い、少ない
低い水準(数値)","a low table
reach a new low",,●
luck,名,運、つき,Good luck!,,
lucky,形,幸運な、運のよい,She is a lucky woman.,,
lunch,名,昼食、ランチ,eat lunch at that restaurant,,
,,,,,
【m】,,,,,
machine,名,機械、装置、機具,use the machine,,
magazine,名,雑誌,read a magazine,,
magic,"名
形","魔法、奇術
魔法の、奇術の","produce a bird by magic
That's a magic hat.",●,
main,形,主な、主要な,a main problem,,
major,形,主要な、大きな,This city is one of the major cities in Japan.,●,
make,"動
",①～を作る　②～を...にする　③～に...させる　《活用》made-made,①make a sandwich  ②make her happy　③Hot milk makes you sleep well.,,
male,"名
形","雄、男性
雄の、男性の","an adult male 
a male driver",●,
man,名,男の人、男性   《複数》men,a tall man,,
manage,動,何とかうまく～する、どうにかやっていく,manage to solve the problem,●,
manager,名,管理する人、園長、監督,He is the manager of the team.,●,
many,"形

代","(数えられる名詞の前で)たくさんの、多くの　《活用》more-most
多くの人(もの)","many chairs

many of them",,●
map,名,地図,see a map,,
marathon,名,マラソン,join a marathon,●,
March,名,３月,in March,,
mark,"名
動","印、記号、点数
～に印をつける、～を採点する","get full marks
mark a box",●,
market,名,市場,The market opens at nine.,●,
marry,動,(～と)結婚する,He married my sister.,●,
match,名,試合、競技,a tennis match,,
material,名,材料、素材、原料,use eco-friendly materials,●,
math,名,数学,I like math.,,
matter,名,事柄、問題、困ったこと、事件、故障、具合の悪いところ,What's the matter?,,
May,名,５月,end of May,,
may,助,①～してもよい　②～かもしれない,①May I use your bike?　②Some people may think that ～.,,
maybe,副,もしかすると、たぶん,Maybe we will meet tomorrow.,,
me,代,私を〔に〕,He knows me well.,,
meal,名,食事、料理,cook a meal,,
mean,動,～を意味する、～のことを言う　《活用》meant-meant,What does the word mean?,,
meaning,名,(言葉・身振りなどの)意味,What is the meaning of the word?,,
meat,名,肉,eat meat,,
medical,形,医療の、医学の,medical care,●,
medicine,名,薬,a new medicine,,
meet,"動
",～に〔と〕会う、(～と)出会う、～と知り合いになる  《活用》met-met,meet her at a park,,
meeting,名,会議、集まり,have a meeting,,
melon,名,メロン,I ate some pieces of melon after dinner.,●,
member,名,一員、メンバー,a new member,,
memorial,"名
形","記念するもの
記念の、追悼の","as a memorial to ～
a memorial park",●,
memory,名,思い出、記憶,a good memory,,
menu,名,メニュー,a lunch menu,,
message,名,伝言、メッセージ、伝えたいこと,a message from him,,
meter,名,メートル,three meters,,
method,名,(体系的・科学的)方法、方式,a new method of teaching foreign languages,●,
middle,"名
形
","真ん中、中間、中央
真ん中の、中間の
　in the middle of ～　～の真ん中に〔の〕","in the middle of May
the middle house on this street
",,●
midnight,名,真夜中,quiet at midnight,●,
might,助,(mayの過去形)(ひょっとして)～かもしれない,might not be true,●,
milk,名,牛乳、ミルク,warm milk,,
million,"名
形","１００万
１００万の","one million
three million people",,●
mind,"名
動","心、気持ち、精神、考え
(～を)気にする、(～を)いやがる","in people's minds
mind sitting here",,●
mine,代,私のもの,It's mine.,,
minute,"名
","(時間の単位)分
  a minute  ちょっとの間","for five minutes
",,●
mirror,名,鏡,look in the mirror,●,
miss,動,①～を聞き逃す、～を見逃す、～をとりのがす、～に乗りそこなう　②～がいなくてさみしく思う,①miss the train 　②I miss him.,,
mission,名,使命、任務、目的、施設,a special mission,●,
mistake,名,誤り、間違い,a big mistake,,
mobile,"形
","移動可能な
　mobile phone  携帯電話","a mobile battery
",●,
modern,形,現代の、近代の、最新式の,modern technology,●,
mom,名,お母さん、ママ,"Where are you going, Mom?",●,
moment,"名
","瞬間、一瞬、少しの間、ちょっと
　Just a moment.　ちょっと待って。","Just a moment, please.
",,●
Monday,名,月曜日,on Monday,,
money,名,お金、通貨、金銭,have some money,,
monkey,名,サル,see a monkey,●,
month,名,(暦)月、１か月,last month,,
moral education,名,道徳(教科),the need for moral education,●,
more,"形
副
代
","(数・量などが)もっと多くの、もっと多い　
もっと
それ以上のこと〔もの・人〕、もっと多くのこと〔もの・人〕
  more than ～　～より多い、～以上、～以上の","more people
love paintings more than music
I want some more, please. 
",,●
morning,名,朝、午前,in the morning,,
most,"形
副


代","大部分の、たいていの、最も多くの
①(最上級をつくる)最も、いちばん　②最も多く、いちばん

大部分、たいてい、ほとんど","most people  
①the most beautiful  ②This animal eats the most.

most of them",,●
mother,名,母、母親、お母さん,become a mother,,
mountain,"名
","山
　Mt.～　～山","at the top of the mountain
",,●
mouse,名,ネズミ   《複数》mice,catch a mouse,●,
mouth,名,口,open my mouth,,
move,"動



","①動く、移動する、～を動かす、移る、進む　②引っ越す　③感動させる
　move to ～　～に引っ越す
　be moved 　感動する
　move on  (次へ)移る、進む","①move the chair　②I will move to the city next month.　③I was moved by her speech.


",,●
movement,名,運動、動き,social movement,●,
movie,名,映画,go to see a movie,,
Mr.,名,～さん、～先生(男性に対する敬称),Mr. Green / Mr. Kato,,
Ms.,"名
","～さん、～先生(女性に対する敬称)
　Mrs.～　(結婚している女性をさして)～さん、先生","Ms. White / Ms. Hara
Mrs. Oda",,●
much,"形

副
代","(数えられない名詞の前で)たくさんの、多量の、多くの　《活用》more-most
とても、たいへん、非常に　《活用》more-most
多量、たくさん","much money

I like this movie very much.
I don't eat much for lunch.",,●
museum,名,博物館、美術館,visit the museum,,
music,名,音楽,I like music.,,
musical,"名
形","ミュージカル
音楽の、音楽用の","I like musicals.
a musical instrument",●,
musician,名,ミュージシャン、音楽家、演奏家,a famous musician,,
must,"助
","①～しなければならない　②～にちがいない　
　must not ～　～してはいけない","①You must do the work.　②He must be a police officer.　
　You must not run around here.",,●
my,代,私の,my school,,
myself,代,私自身を〔に〕,by myself,●,
,,,,,
【n】,,,,,
name,"名
動

","名前
～に(…と)名前をつける、～を(…と)名づける、～を(…と)命名する
　name A after B  BにちなんでAと名づける","my name
He named his dog Hachi after a famous dog.

",,●
nap,名,昼寝、うたた寝、仮眠,have a nap,●,
narrow,"動
形","(～を)狭くする、狭くなる
狭い","The river narrows.
a narrow bridge",●,
nation,名,国、国家,small nations,,
national,形,国の、国立の、国内の、国家の,the national flower,,
natural,形,自然の、天然の,the natural world,,
nature,名,自然、自然界,the beauty of nature,,
near,"形
副
前","近い、近くの
近く、近くに
～の近くに〔で・の〕","in the near future
It is getting near to Christmas.
near the station",,●
nearby,"形
副","近くの
近くに〔で〕","the nearby station
I just came nearby.",●,
necessary,形,必要な、なくてはならない,necessary things ,,
neck,名,首,wear a red scarf around her neck,●,
need,"名
動

","必要、必要なもの、必要性、困っている状態
～を必要とする
　in need　困っている
　need to ～　～する必要がある","people in need
I need your help.

",,●
neighbor,名,隣人、近所の人,a neighbor's house,,
neither,副,～もまた...ない,"You can't swim, and neither can I.",●,
nervous,形,不安な、緊張して,get nervous,,
never,副,①これまで一度も～ない　②決して～ない,①I have never been to Okinawa.　②I will never forget this moment.,,●
new,形,新しい,a new teacher,,
New Year,"名

","新年、正月
　New Year's Day　元日、１月１日
　New Year's Eve　大みそか","I go to a local shrine on New Year's Day. 

",●,
New York,名,ニューヨーク,live in New York,,
New Zealand,名,ニュージーランド,stay in New Zealand,●,
news,名,ニュース、知らせ、報道,watch the news,,
newspaper,名,新聞,a morning newspaper,,
next,"形
副
","①次の、来～、今度の　②隣の
次に、今度
　next to ～　～の隣に","①next week　②the next house
What did you see next?
",,●
nice,"形
","すてきな、すばらしい、よい、親切な
　Nice to meet you.　はじめまして。",a nice boy,,●
night,名,夜、晩,last night,,
nine,"名
形","９
９の","My favorite number is nine.
nine players",,●
nineteen,"名
形","１９
１９の","My favorite number is nineteen.
I'm nineteen years old.",,●
nineteenth,"名
形","１９番め、１９日
１９番めの","My birthday is September 19th.
in the nineteenth century",,●
ninety,"名
形","９０
９０の","My favorite number is ninety.
ninety books",,●
ninth,"名
形","９番め、９日
９番めの","My birthday is September 9th.
on the ninth floor",,●
no,"形
副","無の、少しの〔一つの・一人の〕…も～ない
①いいえ、いや、だめだ　②まさか、うそだろう？","I have no pen.
①No, I don't.  ②Oh, no!",,●
Nobel Prize,名,ノーベル賞,win the Nobel Prize,●,
nobody,代,だれも～ない,Nobody knows.,●,
noise,名,音、騒音、雑音、物音,hear a noise,,
noodle,名,ヌードル、麺類,delicious noodles,●,
noon,名,正午、真昼,at noon,,
north,"名
形","北、北方
北の、北からの","A cold wind blows from the north. 
the north wall",,●
northern,形,北の、北にある、北部地方の,on the northern side,,
nose,名,鼻,my nose,,
not,"副

","～でない
　not ～ at all　まったく～ない、少しも～ない
　not only A but also B  AだけでなくBも","don't have a car / not free

",,●
note,名,①メモ　②紙幣　③注(釈),①take notes　②a bank note　③notes on a passage,,●
notebook,名,ノート,buy a new notebook,,
nothing,代,(単数扱い)何も～ない、少しも～ない,There is nothing to do.,,
notice,動,～に気付く、～に注目する、～とわかる,notice a mistake,,
novel,名,小説,a popular novel,●,
November,名,１１月,in November,,
now,"副
","①今、現在は、今では、今すぐ　②さて、ところで、さあ　
　for now　今のところは","①do it now　②Now, please imagine.
",,●
number,名,①数、数字、総数　②番号,①count the number of people  ②a phone number  ,,●
nurse,名,看護師,become a nurse,,
,,,,,
【o】,,,,,
ocean,名,海、海洋、大洋,swim in the ocean,,
o'clock,名,～時,at five o'clock,,
October,名,１０月,I was born in October.,,
octopus,名,タコ,big octopuses,●,
of,"前



","①(所有・所属・範囲)～の　②(同格)～という　③(内容)～のことを　④(原材料・構成要素)～で　⑤(起源・原因)～から(出た)、～の理由で　
　That's very kind of you.　どうもご親切にありがとうございます。","①the name of the singer  ②the town of Shibuya　③I was thinking of you.　④This desk is made of wood.　⑤because of ～　

",,●
off,"副

前","①～から離れて、離されて、降りて　②止めて、消して、切れて、休んで　③脱いで、はずして
～から離れて","①Take the book off the shelf.　②Please turn off the light. 　③Take off your jacket. 
get off the main road",,●
offer,動,～を提供する、(～を)申し出る,offer a good plan,●,
office,名,会社、事務所、役所、オフィス,work in an office ,,
officer,名,事務員、係員、警察官、公務員,a police officer,,
official,形,公式の、正式の,an official event,,
often,副,しばしば、よく、たびたび,often go there,,
oh,間,おや、あぁ、まぁ,"Oh, dear!　",,
OK,"形
副
間","①問題ない、大丈夫な　②よろしい、正しい、結構な
順調に
よろしい、はい、わかった","①Are you OK?　②That's OK.
I'm doing OK.
OK, Dad.",,●
old,形,①古い、昔からの　②年をとった　③～歳の、～年〔月〕の,①an old temple　②She looks old.　③I'm 14 years old.,,●
on,"副

前



","①身に着けて　②続けて、先へ　③(テレビ・水道などが)通じて、ついて、出て
①(時・日)～に ②(場所)～の上に、～に(接触) ③(状態)～中で、身に着けて　④～について　⑤(対象)～に　⑥(方法)～で
　work on ～　～に取り組む
　and so on　など","①put on the glasses　②The show must go on.　③turn on the TV
①on Sunday  ②on the table / on the wall  ③on the way to school  ④some information on the animals　⑤depend on ～　⑥watch a game on TV
",,●
once,副,①かつて、以前、昔　②一度、一回,①I once met your mother.　②I have tried that game once.,,●
one,"名
形

代


","１、一つ
①１の　②ある～　③一方の

①一つ　②もの(名詞の言いかえ)　③人、だれでも
　one by one　一人〔一つ〕ずつ
　for one thing　一つには(理由)　
　one day　ある日","My favorite number is one.
①one book　②You will see it one day.  ③one way or another
①This river is one of the famous rivers in Japan.　②There were two bananas, and I ate the bigger one.　③No one knows. ",,●
onion,名,タマネギ,a small onion,●,
online,"形
副","オンラインの
オンラインで","online shopping
buy a bicycle online",●,
only,"形
副","唯一の、ただ一つ〔一人〕の、ただ～だけ　　
たった、ほんの、ただ～だけ、ほんの～だけ","an only child 
There were only three people who knew the truth.",,
open,"動
形

","①～を開ける、(店などを)始める　②(店などが)開く
①開いた  ②公開の　③広々とした、さえぎるもののない
","①open the window  ②That restaurant opens at eleven.
①The window is open.　②This website is open to everyone.　③open fields",,●
opening,名,始まり、開くこと,the opening of the meeting,●,
opinion,名,意見、考え,talk about my opinion,,
opportunity,名,機会、好機、チャンス,find an opportunity,●,
or,接,①または、もしくは、～か、～や　②そうしなければ、さもないと　③すなわち、言いかえれば,"①you or I　②Hurry up, or you'll miss the train.　③eco-friendly, or nice to the environment",,●
orange,"名

形","①オレンジ　②オレンジ色

オレンジ色の","①I ate an orange after lunch.  ②My favorite color is orange.
orange flowers",,●
order,"名

動
","①順番、整頓　②命令　③注文

①(～に)(…を)命令する、(～に)(…を)言いつける　②～を注文する","①in order of size　②under the order of the queen　③May I take your order?
①order the person to do it  ②order breakfast online",,●
organize,動,(～を)組織する、～をまとめる、～を整理する,organize the meeting,●,
original,"名
形","原物、オリジナル
①独創的な、独自の　②最初の、もとの","read the story in the original
①the original idea  ②an original work",●,
originally,副,もとは、はじめは、もともと,The company was  originally a small store.,●,
other,"形

代
","①ほかの、別の　②もう一方の

①ほかの人(もの)　②もう一方の人(もの)
","①other questions　②In the pair, one agreed, but the other one disagreed.
①You have to listen to others carefully.　②bigger than the other of the two",,●
our,代,私たちの,our English teacher,,
ours,代,私たちのもの,bigger than ours,,
ourselves,代,私たち自身(で),for ourselves,●,
out,"副
前


","①外へ〔に〕　②なくなって、消えて、離れて
～から外へ
　check ～ out　～を調査する
　out of ～　～から(外へ)
　work out　運動をする、体を鍛える","①get out of a car　②The battery is out.
He walked out the door.


",,●
outdoor,形,戸外の、野外の、屋外の,outdoor sports,●,
outside,"名
副
前","外側、外部
外は〔で・に〕
～の外へ〔で・に〕","on the outside of the building
Let's go outside.
outside the house",,●
over,"副

前



","①越えて、向こうへ　②くり返して、もう一度

①～の上に  ②～じゅう、～のいたるところに  ③～を越えて  ④～より多く、～以上に　
　over there  向こうに
　over here　こちらに
　all over ～　～のいたるところに","①swim over to the other side of the river　②many times over 
①a bridge over the river　②fly over Japan　③over the mountain  ④over 100 countries

",,●
overseas,"名
形
副","外国、国外
外国(へ)の、海外(へ)の、海外からの
外国へ〔で〕、海外へ〔で〕","information from overseas
overseas students
go overseas",,●
own,"動
形","～を所有する
①自身の、独自の　②(代名詞的に)自分自身のもの","Who owns this house?
①his own bike　②This bike is my own.",,●
owner,名,持ち主、オーナー、所有者,the owner of the dog,●,
,,,,,
【p】,,,,,
pack,"名
動","包み、パック、箱
(～を)詰める、荷造りをする","with a pack on his back
finish packing",●,
page,名,ページ,Open your book to page 21.,●,
paint,動,①(絵や文字など)を描く　②～を塗る,①paint a picture　②paint the wall,,●
painting,名,絵、絵を描くこと、絵画,a beautiful painting,,
pair,名,(二つ１組になっているもの)の１対、１組,a pair of shoes,,
panda,名,パンダ,a cute panda,●,
pants,名,ズボン,my pants,●,
paper,"名
形","紙、用紙、レポート、論文
紙の、紙製の","a piece of paper
a paper bag ",,●
parade,名,パレード、行列,join a parade,●,
pardon,"動
","(人・失礼な行為など)を許す
　Pardon?　もう一度おっしゃってください。","Pardon me.
",,●
parent,"名
","親
　parents　両親","my parents
",,●
park,名,公園、遊園地,play in a park,,
part,名,①役割　②部分　③地域、地方,①play a part  ②a part of the story　③in a local part of the country,,●
partner,名,パートナー,my partner,●,
party,名,パーティー、(社交の)会,enjoy a party,,
pass,"動


","①(…に)～を渡す、パスする　②(試験など)に合格する　③(～を)通る、(～を)通り過ぎる　④亡くなる、他界する　
　pass by　通り過ぎる
　pass on … to ～　…を～に伝える","①Please pass me the salt.　②pass the exam  ③pass through a room　④My grandpa passed away.

",,●
passage,名,(文章などの)一節,according to the passage,,
passenger,名,乗客、旅客,passengers on a train,●,
passport,名,パスポート,get a passport,,
past,"名
形
副","過去、昔
過去の、ここ～
通り過ぎて","experiences of the past
remember past events
The years flew past.",,●
patient,"名
形","患者、病人
忍耐強い、我慢強い","take care of the patients
My brother is very patient.",,●
pay,動,(～を)払う　 《活用》paid-paid,pay a lot of money,,
P.E.,名,体育,I like P.E.,,
peace,名,平和,bring peace to the world,,
peaceful,形,平和な、おだやかな,peaceful places,●,
peach,名,モモ,a small peach,●,
pen,名,ペン,write with a pen,,
pencil,名,えんぴつ,use my pencil,,
penguin,名,ペンギン,a cute penguin,●,
people,名,人々、国民,Japanese people,,
percent,名,パーセント,50 percent,,
percentage,名,パーセンテージ、割合,a high percentage,●,
perfect,形,完全な、完璧な、申し分ない,Your answer is perfect.,,
perform,動,(～を)行う、(～を)演じる、(～を)上演する、(～を)演奏する,perform a show,●,
performance,名,演技、演奏、公演、パフォーマンス,a good performance,●,
perhaps,副,たぶん、おそらく,Perhaps he will come.,,
period,名,①時代　②(授業の)時間、時限,①the Edo period　②We have history class in the third period.,●,
person,名,人、個人,a kind person,,
personal,形,個人的な,a personal computer,,
Peru,名,ペルー,go to Peru,●,
pet,名,ペット,have a pet,,
phone,名,電話,Can I use this phone?,,
photo,名,写真(photographの短縮形),take a photo,,
photographer,名,写真家、カメラマン,want to be a photographer,,
phrase,名,表現、言い回し、フレーズ,use the phrase,,
pianist,名,ピアニスト、ピアノを弾く人,a good pianist,,
piano,名,ピアノ,play the piano,,
pick,"動

","(～を)取る、(～を)摘む、～を拾う、～をもぐ
　pick up ～　～を迎えに行く、拾い上げる、(速力を)増す","I'll pick you up at the station.

",,●
picnic,名,ピクニック、遠足,go on a picnic,●,
picture,名,①絵　②写真,①I like drawing pictures.　②I want to take a picture.,,●
pie,名,パイ,make a pie,●,
piece,"名

","①１個、一つ、一枚、一片、部分　②作品
　... piece(s) of ～　... 個〔本・枚〕の～
　a piece of ～　一つ〔個・枚〕の～","①a piece of paper / a piece of cake　②a few pieces by a famous artist
",,●
pig,名,ブタ,a big pig,●,
pilot,名,パイロット、操縦士,a famous pilot,●,
pineapple,名,パイナップル,a delicious pineapple,●,
pink,"名
形","桃色、ピンク色
桃色の、ピンク色の","My favorite color is pink.
pink cards",●,
pizza,名,ピザ,a piece of pizza,●,
place,名,①場所、ところ　②順位、立場,①in this place　②She took the second place in the contest.,,●
plan,"名
動","計画、予定、案、プラン　　
～の計画(予定)を立てる、計画する","your plan for the summer
We are planning a picnic in the park.",,
plane,名,飛行機,on a plane,,
planet,名,惑星,the biggest planet,●,
plant,"名
動","植物、草花
(植物)を植える、(種)をまく","animals and plants
We planted cabbages in the garden.",,●
plastic,"形

","プラスチック製の、ビニール製の
　plastic bag　ビニールぶくろ
　plastic bottle　ペットボトル","a plastic bag

",,●
plate,名,皿、取り皿,a paper plate,●,
play,"名
動
","劇、芝居
①(運動)をする　②(～を)演奏する、(～を)ひく　③遊ぶ 　④(～を)演じる","go to a play
①play tennis　②play the piano　③play with children　④play a role",,●
player,名,①選手、競技者　②演奏者,①a basketball player  ②a violin player,,●
please,副,どうぞ、どうか、お願いします,Please come in.,,
pleasure,"名
","喜び、楽しさ、楽しみ
　My pleasure.　喜んで。どういたしまして。","the pleasure of listening to good music
",●,
plus,前,～を加えた,Two plus six is eight.,●,
p.m.,副,午後,at 6:30 p.m.,,
pocket,名,ポケット,in your pocket,●,
point,"名
動","点、ポイント、要点、考え、点数
指さす","a good point
point at the building",,
police,名,警察,the New York police,,
police officer,名,警察官,She wants to be a police officer.,●,
police station,"名
","警察署
　police office  警察署","the local police station
",●,
pond,名,池,in this pond,●,
pool,名,プール,in the pool,●,
poor,形,貧しい、かわいそうな,a poor little boy,,
pop,"名
形
","ポップス
大衆的な、ポップスの
　pop culture　大衆文化、ポップカルチャー","I like pop.
pop music
",●,
popular,形,①人気のある、流行の　②大衆的な、一般的な,①a popular musician　②popular food,,●
population,名,人口,the population of Japan,●,
pork,名,豚肉,eat pork,●,
position,名,位置、姿勢,in a comfortable position,●,
positive,形,前向きな、肯定的な、積極的な,a positive way of thinking,●,
possible,形,可能な、できる限りの、実行できる,It will be possible to run faster if I practice hard.,,
post office,名,郵便局,go to the post office,,
postcard,名,はがき,send a postcard,,
poster,名,ポスター,a poster for this event,●,
potato,名,ジャガイモ、ポテト,fried potato,●,
power,"名
動","①力、エネルギー、動力、電力　②能力、才能
～に動力を供給する、～を動力で動かす","①wind power　②Animals have amazing powers.
the ship powered by the wind",,●
powerful,形,力強い、強力な、有力な,become powerful in the world,●,
practice,"名
動","練習、けいこ
(～を)練習する","I'm in practice for the match.
I practice tennis after school.",,●
pray,動,祈る,I prayed for rain.,●,
prefecture,名,県、府,Osaka prefecture,●,
prepare,動,(～を)準備する、(～を)用意する,prepare breakfast,,
present,名,贈り物、プレゼント,a birthday present from her,,
presentation,名,プレゼンテーション、発表,make a presentation,●,
president,名,大統領、会長,the President of the United States,●,
pressure,名,圧力,the pressure of the job,●,
pretty,形,かわいい、きれいな,a pretty doll,,
price,名,価格、値段,The price of the camera is low.,,
print,"名
動","版画
（～を）印刷する","We need three more prints.
This picture is printed on paper. ",●,
prize,名,賞、賞品,She won the first prize.,●,
probably,副,おそらく、たぶん,It will probably rain soon.,,
problem,名,問題、課題,a big problem,,
produce,動,(～を)生み出す、(～を)産出する,The factory produces hundreds of cars every week.　,,
product,名,製品、生産物,a new product,●,
professional,形,プロの、専門職の、職業上の,professional baseball,●,
program,"名
動","計画、(テレビやラジオの)番組(表)
～をプログラムする","a TV program
program the computer",,●
project,名,計画、企画、事業、プロジェクト,a project to build a new city,●,
promise,"名
動","約束
(～に)約束する","break our promise
Please promise me.",,●
protect,動,～を保護する、～を守る,protect the environment,,
proud,"形
","誇りをもっている、光栄に思う
　be proud of ～　～を誇りに思う","He is proud of his son.
",●,
provide,動,～を提供する、～を供給する、～を与える,provide food,●,
public,形,公の、公共の,a public library,●,
pudding,名,プディング、プリン,a delicious pudding,●,
pull,動,～を引く、～を引っ張る,pull the door,●,
pumpkin,名,カボチャ,a big pumpkin,●,
purple,"名
形","紫、紫色
紫の、紫色の","My favorite color is purple.
purple clothes",●,
push,動,～を押す,push the door,,
put,"動
",①～を置く、～を載せる、～をつける　②～の状態にする　《活用》put-put,①put the coin on the desk　②put myself into my work,,●
,,,,,
【q】,,,,,
quality,名,質、品質、特質,good quality,●,
quarter,名,４分の１,three quarters,●,
queen,名,女王、王妃,the queen of Egypt,●,
question,名,質問、疑問、問題,answer the question,,
quick,"形
副","速い、すばやい
すばやく、ただちに","a quick answer
Come quick!",,●
quickly,副,速く、急いで、すばやく、すぐに,move quickly,,
quiet,形,静かな、無口な、おとなしい,a quiet place,,
quietly,副,静かに、そっと、落ち着いて,open the door quietly,,
quite,副,まったく、かなり、相当、すっかり、本当に、非常に、とても,It was quite dark.,,
quiz,名,クイズ、小テスト,give the students a quiz in math class,,
,,,,,
【r】,,,,,
rabbit,名,ウサギ,a big rabbit,●,
race,名,競争、レース,Our race starts at 10 a.m.,●,
racket,名,(テニスや卓球の)ラケット,buy a new racket,,
radio,名,ラジオ,listen to the radio,,
rain,"名
動","雨
雨が降る","walk in the rain
It is raining.",,
rainbow,名,虹,The rainbow has seven colors.,●,
rainy,形,雨の、雨の多い、雨降りの,a rainy day,,
raise,動,①～を上げる、～を持ち上げる　②～を挙げる、～を出す、～を提起する,①raise my hand　②raise a question,,●
reach,動,～に着く、(～に)到着する、(～に)とどく、(～に)達する,reach the station,,
read,動,～を読む、読書する　《活用》read-read,read a book,,
ready,"形
","用意のできた
　be ready for ～　～の用意ができている","Are you ready?
",,●
real,形,本当の、本物の,the real reason,,
realize,動,～と理解する、～と悟る、～に気づく,realize the mistake,●,
really,副,①とても　②本当に、実際に,"①really interesting　②Oh, really?",,
reason,名,理由、わけ、根拠,the real reason for ～,,
receive,動,(～を)受ける、(～を)受け取る、(～を)もらう,receive a letter,,
recently,副,最近、近ごろ,I got a letter from her recently.,,
recipe,名,レシピ、調理法、(料理などの)作り方,follow the recipe,●,
recommend,動,(…に)(～を)勧める、(…に)(～を)推薦する,recommend a good camera,●,
record,"名
動","記録
～を記録する、～を録画〔録音〕する","make a record of everything 
record a TV program",●,
recycle,動,～を再利用する、～をリサイクルする、～を再生する,recycle newspapers,,
red,"名
形","赤、赤色
赤の、赤色の、赤い","My favorite color is red.
buy a red bag",,●
reduce,動,～を減らす、～を減少させる、減る,reduce waste of food,,
refer,"動
","参照する、調べる
  refer to ～　～を示す、表す","refer to this book
",●,
relax,動,くつろぐ、リラックスする,relax and enjoy the movie,,
relay,名,リレー(競技)、競走,run in the relay,●,
remain,"名
動","遺跡
残る、とどまる","the remains of an old city
They remained in the room.",●,
remember,動,～を思い出す、～を覚えている,remember her name,,
remind,"動
","(…に)(～を)思い出させる、(～を)気づかせる
　remind A of B  AにBを思い出させる","remind me of the old days
",●,
remove,動,～を取り除く、～を取り外す,remove the books from the desk,,
repair,動,～を修理する、～を修繕する,repair the shoes,,
repeat,動,～を繰り返して言う、～を復唱する,repeat the words,●,
report,"名
動","報告、報道、報告書、レポート
～を報告する","a report from the city
report the result",,
reporter,名,新聞記者、ニュースレポーター,a famous reporter,●,
research,"名
動","研究、調査
（～を）研究する、（～を）調査する","interesting research
The scientist researched on the effect.",,●
researcher,名,研究者、調査員,researcher of the company,●,
respect,"名
動","尊敬、敬意
～を尊敬する、～を尊重する、～を重んじる","great respect for him 
She is respected by everyone.",,
response,名,反応、返答、答え,She made no response to my question.,●,
rest,"名
動
","休息、休憩、休養
休む、休息する
　take a rest　ひと休みする","take a rest for half an hour
Let's rest and relax.
",,●
restaurant,名,レストラン、料理店,a French restaurant,,
restroom,名,トイレ、お手洗い、洗面所,a public restroom,●,
result,"名
動

","結果、結末、成果
～になる、～という結果になる
　as a result (of ～)　(～の)結果として
　result in ～　～になる、～という結果になる","get the result 
His performance resulted in a great success.

",●,
return,動,戻る、帰る、～を返す,return home from school,,
rice,名,米、稲、ごはん,eat rice every day,,
rice ball,名,おにぎり,make a rice ball,●,
rich,形,①金持ちの、裕福な　②豊かな、豊富な,①a rich person　②a rich field,,●
ride,動,(～に)乗る、(～に)乗っていく　《活用》rode-ridden,ride a horse,,
right,"名
形

副




","
①右　②権利
①正しい　②調子がいい　③右の

①ちょうど、すぐに　②右へ
　That's right.　そのとおり。
　all right 　だいじょうぶな　
　All right.　よろしい。わかった。了解した。　
　right away　すぐに
","①from the right  ②human rights
①You are right.  ②Are you all right?　③on the right side 
①I noticed him right away.　②Turn right.


",,●
ring,"名
動","指輪
鳴る、～を鳴らす　《活用》rang-rung","She got a ring for her birthday.
ring the bell ",●,
rise,"名
動","上昇、増加
のぼる、上がる　《活用》rose-risen","a rise in prices
The sun rises in the east.",●,
river,名,川、河川,along the river,,
road,名,道路、道,the road to Kyoto,,
robot,名,ロボット,make a robot,●,
rock,名,①岩、岩石　②ロック(音楽),①a large rock　②I like rock music.,,●
role,名,役、役割,play different roles,●,
roof,名,屋根、屋上,on the roof,,
room,名,部屋、室,a small room,,
rope,名,ロープ、縄、綱,a rope bridge ,●,
round,"名
形
副","ラウンド、～回戦
丸い、円形の、球形の
初めから終わりまで","the first round
a round table
all year round",,●
rugby,名,ラグビー,a rugby fan,●,
rule,"名

動","①規則、ルール　②支配、統治

～を支配する","①break a rule　②That country is now under foreign rule.
The king ruled his country for 20 years.",,●
ruler,名,①定規　②統治者、支配者,①Whose ruler is that?  ②The ruler was happy.,●,
run,"動


","①走る、運行する　②～を経営する、～を運営する　《活用》ran-run
  run out of ～　～を使い果たす
  run away　逃げる、走り去る","①run in a park　②run a company


",,●
runner,名,走者、ランナー、走る人,a great runner,●,
Russia,名,ロシア,a student from Russia,●,
,,,,,
【s】,,,,,
sad,形,悲しい,look sad,,
safe,形,①無事な、無傷な　②安全な,①The baby was safe.　②a safe place,,●
